"school_type","ncessch","name","state_code","state_fips_code","zip_code","latitude","longitude","total_students","pct_white","pct_black","pct_hispanic","pct_asian","pct_amerindian","pct_other"
"Public","010000500871","Albertville High Sch","AL","01",35950,34.26215400,-86.20486300,1171,64.9018,2.0495,31.4261,0.5978,0.1708,0.8540
"Public","010000600872","Asbury Sch","AL","01",35951,34.36277000,-86.14224000,516,69.7674,0.1938,28.8760,0.0000,0.3876,0.7752
"Public","010000600878","Douglas High Sch","AL","01",35964,34.17815700,-86.31994700,590,74.2373,1.5254,23.0508,0.5085,0.6780,0.0000
"Public","010000600883","Kate D Smith DAR High Sch","AL","01",35747,34.53372100,-86.25368100,476,97.0588,0.6303,1.6807,0.2101,0.0000,0.4202
"Public","010000601585","Brindlee Mt High Sch","AL","01",35976,34.37640000,-86.42187600,371,93.5310,1.6173,3.7736,0.5391,0.2695,0.2695
"Public","010000700251","Hoover High Sch","AL","01",35244,33.34437000,-86.83768300,2823,57.5275,28.4803,4.5696,6.3762,0.0000,3.0464
"Public","010000701456","Spain Park High Sch","AL","01",35242,33.39271000,-86.72878500,1645,64.7416,23.5258,4.1945,5.2280,0.0000,2.3100
"Public","010000800831","Bob Jones High Sch","AL","01",35758,34.71915800,-86.74254500,1720,64.2442,21.5698,3.3140,7.8488,0.7558,2.2674
"Public","010001102096","Leeds High Sch","AL","01",35094,33.55132000,-86.57289100,474,52.3207,30.5907,11.1814,1.0549,0.2110,4.6414
"Public","010001200874","Boaz High Sch","AL","01",35957,34.21178600,-86.16391900,624,80.4487,1.6026,14.9038,1.1218,0.8013,1.1218
"Public","010001301682","Hewitt-Trussville High Sch","AL","01",35173,33.66537000,-86.58875100,1366,83.8946,11.6398,1.1713,2.1962,0.0732,1.0249
"Public","010003000003","Benjamin Russell High Sch","AL","01",35010,32.93774800,-85.95076700,974,59.0349,37.5770,2.2587,0.7187,0.0000,0.4107
"Public","010006000007","Andalusia High Sch","AL","01",36420,31.31536600,-86.47084300,512,58.7891,37.1094,0.9766,1.7578,0.0000,1.3672
"Public","010009000011","Anniston High Sch","AL","01",36207,33.66122500,-85.81999200,504,2.7778,94.8413,2.3810,0.0000,0.0000,0.0000
"Public","010010000028","Arab High Sch","AL","01",35016,34.32958200,-86.48897700,836,96.7703,0.2392,1.6746,0.9569,0.2392,0.1196
"Public","010012001472","Athens High Sch","AL","01",35611,34.80452500,-86.95066100,961,58.6889,27.4714,11.0302,1.9771,0.3122,0.5203
"Public","010018000033","Etowah High Sch","AL","01",35954,33.99544300,-86.11318500,718,76.4624,13.9276,6.1281,0.0000,0.0000,3.4819
"Public","010018502137","Saraland High Sch","AL","01",36571,30.79708800,-88.10187800,983,81.0783,15.0560,1.3225,0.5086,1.0173,1.0173
"Public","010024000045","Billingsley High Sch","AL","01",36006,32.66223800,-86.70177000,691,73.9508,23.1548,0.0000,0.4342,0.0000,2.4602
"Public","010024000046","Marbury Sch","AL","01",36022,32.61899200,-86.48323300,583,81.9897,15.6089,1.2007,0.3431,0.1715,0.6861
"Public","010024000048","Prattville High Sch","AL","01",36067,32.50053300,-86.47158500,2050,68.8780,24.4878,2.6829,2.4390,0.3415,1.1707
"Public","010024001408","Autaugaville Sch","AL","01",36003,32.43388900,-86.65931000,339,2.0649,96.1652,0.0000,0.0000,0.0000,1.7699
"Public","010027000024","Robertsdale High Sch","AL","01",36567,30.54014500,-87.70832800,1394,82.7116,10.1148,4.5194,0.7891,0.8608,1.0043
"Public","010027000100","Fairhope High Sch","AL","01",36532,30.49875100,-87.88614500,1469,86.2491,8.3050,3.1314,0.8850,0.8169,0.6127
"Public","010027000641","Gulf Shores High Sch","AL","01",36542,30.26841100,-87.67523700,873,93.5853,1.1455,2.4055,1.8328,0.3436,0.6873
"Public","010027001759","Daphne High Sch","AL","01",36526,30.63847300,-87.86376500,1235,70.2024,22.1053,3.5628,2.1862,0.4858,1.4575
"Public","010027001784","Foley High Sch","AL","01",36535,30.38172100,-87.68932100,1818,70.3520,15.9516,11.0011,0.2750,0.3850,2.0352
"Public","010027001810","Baldwin Co High Sch","AL","01",36507,30.89367100,-87.79400700,1167,67.6949,27.5921,0.7712,0.5141,1.8852,1.5424
"Public","010027002073","Spanish Fort High Sch","AL","01",36527,30.68912000,-87.85377000,1072,82.9291,10.5410,3.4515,1.1194,0.7463,1.2127
"Public","010033000087","Jess Lanier High Sch","AL","01",35022,33.36966000,-87.00044100,1015,2.3645,93.0049,4.2365,0.1970,0.0000,0.1970
"Public","010036000092","Bibb Co High Sch","AL","01",35042,32.94723300,-87.14257700,542,59.9631,37.0849,2.5830,0.0000,0.1845,0.1845
"Public","010036000099","West Blocton High Sch","AL","01",35184,33.11308600,-87.12839900,492,88.2114,10.1626,1.4228,0.0000,0.2033,0.0000
"Public","010039000141","Huffman High Sch-Magnet","AL","01",35215,33.61291100,-86.68198600,1313,0.8378,95.9634,3.0465,0.0762,0.0762,0.0000
"Public","010039000164","Jackson-Olin High Sch","AL","01",35218,33.51787000,-86.89168600,1052,0.2852,97.9087,1.8061,0.0000,0.0000,0.0000
"Public","010039000165","Parker High Sch","AL","01",35204,33.51459600,-86.82930100,830,0.6024,98.1928,0.9639,0.0000,0.0000,0.2410
"Public","010039000176","Ramsay High Sch","AL","01",35205,33.49763500,-86.79859700,856,0.7009,98.2477,0.8178,0.1168,0.1168,0.0000
"Public","010039000192","Wenonah High Sch","AL","01",35221,33.45248200,-86.88593300,775,0.3871,98.5806,0.9032,0.0000,0.0000,0.1290
"Public","010039000198","Woodlawn High Sch-Magnet","AL","01",35212,33.54223000,-86.75212300,787,0.3812,93.9009,4.5743,0.1271,0.1271,0.8895
"Public","010039001468","George Washington Carver High Sch","AL","01",35207,33.55836100,-86.82799100,791,0.6321,88.4956,10.3666,0.1264,0.0000,0.3793
"Public","010042000203","Appalachian ?Sch","AL","01",35121,33.88794800,-86.39714100,607,76.7710,0.4942,20.5931,0.1647,0.1647,1.8122
"Public","010042000206","Cleveland High Sch","AL","01",35049,33.99322400,-86.57362700,418,81.3397,0.2392,17.4641,0.2392,0.2392,0.4785
"Public","010042000208","Hayden High Sch","AL","01",35079,33.88693600,-86.76813900,923,96.7497,2.2752,0.3250,0.2167,0.0000,0.4334
"Public","010042000209","JB Pennington High Sch","AL","01",35031,34.08582900,-86.58880900,591,88.1557,0.5076,10.8291,0.0000,0.3384,0.1692
