id,"cbsa_code",is_msa,is_county,"fips_state_code","fips_county_code","msa_name","cbsa_title",median_household_income,pop_total,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_pct,pop_black_pct,pop_amerindian_pct,pop_asian_pct,pop_nativehawaii_pct,pop_otherrace_pct,pop_tworaces_pct,pop_hispanic_pct,pop_edu_attain_bach,pop_edu_attain_master,pop_edu_attain_prof,pop_edu_attain_doct,pop_edu_attain_assoc,pop_edu_somecollege_1plusyrs,pop_edu_somecollege_under1yr,pop_edu_GED,pop_total_25plus,pop_edu_hs,pop_edu_attain_bach_pct,pop_edu_attain_master_pct,pop_edu_attain_prof_pct,pop_edu_attain_doct_pct,pop_edu_attain_assoc_pct,pop_edu_somecollege_1plusyrs_pct,pop_edu_somecollege_under1yr_pct,pop_edu_GED_pct,pop_edu_hs_pct
1,"10260",1,0,"72",NULL,"Adjuntas, PR Micro Area","Adjuntas, PR",10499,18962,40,0,0,0,0,0,0,18922,0.210948212214,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,99.789051787786,1768,256,59,65,615,1607,88,156,12556,3169,14.080917489646,2.038865880854,0.469894870978,0.517680790061,4.898056705957,12.798661994266,0.700860146543,1.242433896145,25.238929595413
2,"10380",1,0,"72",NULL,"Aguadilla-Isabela, PR Metro Area","Aguadilla-Isabela, PR",15616,325921,4201,262,1,297,19,445,2633,318063,1.288962662731,0.080387578585,0.000306822819,0.091126377251,0.005829633562,0.136536154467,0.807864482497,97.588986288088,33729,7723,1145,1319,18343,22524,2344,7049,222309,51871,15.172125285076,3.473993405575,0.515048873415,0.593318309200,8.251127934542,10.131843515107,1.054388261384,3.170811797993,23.332838526555
3,"11640",1,0,"72",NULL,"Arecibo, PR Metro Area","Arecibo, PR",17047,193243,858,72,0,134,0,34,26,192119,0.444000558882,0.037258788158,0.000000000000,0.069342744627,0.000000000000,0.017594427741,0.013454562390,99.418348918201,21593,4949,710,1089,12851,14510,1765,2717,131770,32491,16.386886241178,3.755786597860,0.538817636791,0.826440009107,9.752599225924,11.011611140624,1.339455111179,2.061926083327,24.657357516885
4,"17620",1,0,"72",NULL,"Coamo, PR Micro Area","Coamo, PR",18233,40293,88,7,0,0,0,1,0,40197,0.218400218400,0.017372744645,0.000000000000,0.000000000000,0.000000000000,0.002481820664,0.000000000000,99.761745216291,4134,1224,22,259,2035,2448,301,317,26801,8340,15.424797582180,4.566993768889,0.082086489310,0.966381851423,7.593000261184,9.133987537778,1.123092421925,1.182791686877,31.118241856647
5,"17640",1,0,"72",NULL,"Coco, PR Micro Area","Coco, PR",15240,30114,81,27,0,105,0,0,0,29901,0.268977884041,0.089659294680,0.000000000000,0.348675034868,0.000000000000,0.000000000000,0.000000000000,99.292687786412,2477,824,26,112,1692,2010,120,321,19495,6250,12.705822005642,4.226724801231,0.133367530136,0.574506283662,8.679148499615,10.310335983586,0.615542446781,1.646576045140,32.059502436522
6,"25020",1,0,"72",NULL,"Guayama, PR Metro Area","Guayama, PR",15114,81159,165,12,0,0,12,2,84,80884,0.203304624256,0.014785790855,0.000000000000,0.000000000000,0.014785790855,0.002464298476,0.103500535985,99.661158959573,7347,1592,149,191,4188,6090,1014,1302,53707,16993,13.679781034130,2.964231850597,0.277431247323,0.355633343884,7.797866199937,11.339304001341,1.888022045543,2.424264993390,31.640195877632
7,"27580",1,0,"72",NULL,"Jayuya, PR Micro Area","Jayuya, PR",16033,15890,25,0,0,0,0,0,0,15865,0.157331655129,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,99.842668344871,1200,329,0,58,668,1191,13,399,10122,3302,11.855364552460,3.250345781466,0.000000000000,0.573009286702,6.599486267536,11.766449318317,0.128433115985,3.941908713693,32.622011460186
8,"32420",1,0,"72",NULL,"Mayagüez, PR Metro Area","Mayagüez, PR",15829,100263,642,80,0,44,0,78,85,99334,0.640315969002,0.079790151901,0.000000000000,0.043884583545,0.000000000000,0.077795398103,0.084777036394,99.073436861055,10035,2691,460,1165,3582,6812,1266,2940,66297,17457,15.136431512738,4.059007194896,0.693847383743,1.757243917523,5.402959409928,10.274974734905,1.909588669171,4.434589800443,26.331508213041
9,"38660",1,0,"72",NULL,"Ponce, PR Metro Area","Ponce, PR",16296,330891,1486,131,0,160,0,84,0,329030,0.449090485991,0.039590076490,0.000000000000,0.048354291897,0.000000000000,0.025386003246,0.000000000000,99.437579142376,35988,7143,2460,2318,17869,21268,3088,4742,218445,61544,16.474627480602,3.269930646158,1.126141591705,1.061136670558,8.180091098446,9.736089175765,1.413628144384,2.170798141409,28.173682162558
10,"41900",1,0,"72",NULL,"San Germán, PR Metro Area","San Germán, PR",15107,133534,497,20,0,0,0,15,0,133002,0.372189854269,0.014977458924,0.000000000000,0.000000000000,0.000000000000,0.011233094193,0.000000000000,99.601599592613,14982,3104,416,1180,7786,8438,1157,1986,91685,23635,16.340731853629,3.385504717238,0.453727436331,1.287015324208,8.492119757867,9.203250259039,1.261929432295,2.166112232099,25.778480667503
