High School Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
000003 Total,17,0,0,1,0,14,0,2,4,0,9,0,1,2
000004 Total,8,0,0,0,1,7,0,4,1,0,3,0,0,0
003545 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
050997 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
051298 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
052256 Total,2,0,0,0,0,2,0,2,0,0,0,0,0,0
070008 Total,130,0,1,3,9,109,4,14,7,0,112,0,0,0
070010 Total,45,1,0,0,1,42,0,9,3,1,34,0,1,1
070020 Total,148,1,0,2,9,125,0,7,5,0,137,0,1,3
070025 Total,138,0,0,3,21,110,2,12,4,1,118,0,1,1
070026 Total,6,1,0,1,0,5,0,2,0,0,5,0,0,0
070028 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070030 Total,52,1,0,2,4,40,1,1,46,1,9,0,0,0
070031 Total,14,0,0,1,2,9,0,0,8,0,6,0,0,0
070034 Total,45,2,0,2,7,32,0,2,22,0,22,0,1,0
070038 Total,34,0,0,0,1,30,0,3,0,0,32,0,0,0
070045 Total,27,0,4,2,7,12,2,2,13,0,6,0,0,0
070048 Total,12,0,0,1,5,5,0,0,8,0,4,0,0,1
070050 Total,90,0,4,3,52,29,1,1,31,1,57,0,3,0
070053 Total,52,4,6,4,13,27,4,3,25,1,15,0,4,2
070055 Total,125,0,9,7,41,52,6,11,55,0,41,0,3,1
070057 Total,101,0,4,9,13,76,2,17,21,0,55,0,6,0
070060 Total,4,0,0,0,0,3,0,3,1,0,0,0,0,0
070066 Total,2,0,0,0,1,1,0,1,0,0,2,0,0,0
070069 Total,1,0,0,0,0,0,1,0,0,0,1,0,0,0
070070 Total,37,1,1,4,14,12,1,1,20,0,11,0,0,1
070071 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
070072 Total,34,0,2,7,8,17,0,2,14,0,11,0,1,0
070073 Total,55,0,3,8,9,33,2,6,17,3,26,0,0,0
070074 Total,69,2,1,4,23,33,4,4,20,1,41,0,1,0
070075 Total,176,0,4,11,32,119,5,12,25,1,134,0,2,0
070076 Total,134,0,1,7,24,93,2,3,11,0,116,0,0,1
070082 Total,91,0,1,3,2,84,2,7,3,0,79,0,3,1
070083 Total,2,0,0,0,0,0,0,0,1,0,1,0,0,0
070084 Total,18,0,0,2,9,5,2,0,5,0,11,0,0,0
070085 Total,118,0,0,2,13,99,0,8,2,1,109,0,0,0
070087 Total,9,0,0,0,3,4,1,0,6,0,3,0,0,0
070090 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070115 Total,69,0,1,0,3,61,0,2,5,0,61,0,1,0
070117 Total,22,0,0,0,0,22,0,6,1,0,15,0,0,0
070118 Total,1,0,0,0,0,1,0,0,0,0,0,0,0,0
070120 Total,332,0,1,2,131,172,2,41,40,0,247,0,8,2
070121 Total,2,0,0,0,0,2,0,0,1,0,1,0,0,0
070123 Total,80,0,3,1,42,24,3,1,5,1,71,0,6,0
070125 Total,90,0,0,4,9,76,3,18,3,0,66,0,2,1
070130 Total,27,0,1,3,2,21,0,7,1,0,18,0,0,0
070135 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070142 Total,1,0,0,0,0,1,0,0,1,0,1,0,0,0
070145 Total,133,1,1,0,9,118,0,8,3,0,121,0,1,0
070156 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
070159 Total,3,0,0,0,0,3,0,0,0,0,2,0,1,0
070162 Total,3,0,0,0,1,0,0,0,0,0,3,0,0,0
070163 Total,28,1,0,1,0,21,1,0,3,0,21,0,1,1
070167 Total,47,0,0,3,20,22,0,2,12,1,30,0,2,0
070169 Total,32,0,0,0,6,20,0,3,10,0,18,0,1,1
070170 Total,162,0,2,16,52,76,3,17,69,0,68,0,0,0
070182 Total,26,0,0,3,7,15,1,0,10,0,18,0,0,0
070186 Total,246,1,2,4,24,203,1,26,11,4,214,0,2,3
070187 Total,228,0,4,0,17,204,3,12,4,0,208,0,2,1
070188 Total,1,0,0,0,0,0,0,0,0,0,1,0,0,0
070189 Total,1,0,0,1,0,0,0,0,0,0,0,0,0,0
070190 Total,101,1,2,4,11,85,3,8,10,1,79,0,3,0
070197 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
070205 Total,52,0,1,0,2,43,1,3,2,0,48,0,1,0
070210 Total,33,1,1,2,1,28,1,12,5,0,18,0,1,0
070215 Total,253,1,0,5,13,227,2,26,10,1,219,0,3,3
070217 Total,102,1,1,1,6,84,2,3,4,0,96,0,0,0
070219 Total,20,0,0,0,3,17,0,0,4,0,15,0,0,0
070220 Total,37,1,0,0,4,33,0,1,3,0,30,0,1,0
070235 Total,15,0,0,0,0,15,0,1,2,0,12,0,0,0
070240 Total,235,4,6,4,42,177,4,24,9,2,200,0,3,0
070249 Total,6,0,0,0,0,6,0,0,0,1,6,0,0,0
070260 Total,2,0,0,0,1,1,0,0,1,0,1,0,0,0
070261 Total,1,0,0,1,0,0,0,0,1,0,1,0,0,0
070270 Total,63,0,0,2,37,15,0,2,22,1,36,0,0,0
070271 Total,18,0,0,2,5,11,0,0,13,0,3,0,0,0
070274 Total,56,0,0,9,15,32,0,3,20,0,28,0,1,0
070275 Total,45,0,0,3,12,25,1,3,17,0,32,0,0,0
070279 Total,2,0,0,0,0,1,0,0,1,0,1,0,0,0
070280 Total,17,0,0,2,5,8,1,0,9,0,7,0,0,0
070284 Total,25,0,0,1,8,5,2,0,16,0,10,0,0,1
070285 Total,14,0,0,3,3,8,1,0,9,0,1,0,0,0
070290 Total,8,1,1,3,4,3,1,1,4,1,3,0,0,0
070291 Total,54,0,0,6,20,26,5,4,18,1,28,0,1,0
070297 Total,19,0,0,0,1,18,0,0,19,0,0,0,0,0
070300 Total,20,0,0,1,11,5,1,1,8,0,12,0,0,0
070304 Total,33,0,1,2,13,15,3,1,12,0,18,0,1,0
070306 Total,39,0,0,0,8,25,1,0,20,0,22,0,0,1
