Zip Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
0000 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
01001 Total,90,0,0,5,4,80,2,9,5,1,75,0,0,1
01002 Total,106,0,1,9,9,90,5,20,9,1,86,0,0,0
01005 Total,5,0,0,0,1,4,0,0,0,0,4,0,0,0
01007 Total,98,0,1,1,1,91,6,3,8,1,86,0,0,1
01008 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01009 Total,5,0,0,0,1,3,0,0,0,0,4,0,0,1
01010 Total,8,0,0,1,0,7,0,1,0,0,8,0,0,0
01010 Total,13,0,0,1,0,12,0,0,1,0,13,0,0,0
01011 Total,5,0,0,0,0,5,0,0,0,0,4,0,0,0
01012 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01013 Total,61,0,2,14,3,43,0,5,6,3,42,0,2,0
01020 Total,92,0,0,11,3,76,1,2,6,1,77,0,3,1
01022 Total,2,0,0,1,1,0,0,0,1,0,0,0,0,0
01026 Total,5,0,0,0,0,4,0,0,0,0,4,0,0,1
01027 Total,75,1,1,4,1,69,1,10,2,0,65,0,1,0
01028 Total,108,0,0,5,3,98,2,11,9,0,86,0,0,0
01030 Total,72,0,1,3,2,64,4,2,1,1,67,0,1,1
01031 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01032 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01033 Total,55,0,0,0,1,53,0,18,0,2,37,0,1,1
01034 Total,7,0,0,1,0,5,0,0,0,1,6,0,0,0
01035 Total,33,0,0,2,0,30,0,4,0,0,28,0,1,1
01036 Total,24,0,0,1,0,23,0,1,0,0,23,0,0,0
01037 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01038 Total,7,0,0,0,1,6,1,1,1,0,7,0,0,0
01039 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01040 Total,86,0,2,33,5,45,1,4,10,2,48,0,5,2
01050 Total,6,0,0,0,1,5,0,0,0,0,6,0,0,0
01053 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
01054 Total,8,0,0,0,0,8,0,0,0,0,7,0,1,0
01056 Total,106,0,0,2,5,94,3,0,2,0,102,0,0,1
01057 Total,39,0,0,0,0,39,4,1,0,0,36,0,0,0
01060 Total,55,0,1,4,6,43,1,8,2,1,42,0,1,0
