"zip_code","cbsa_1",cbsa_1_ratio,"cbsa_2",cbsa_2_ratio,"cbsa_3",cbsa_3_ratio,"cbsa_4",cbsa_4_ratio
"00501","35620",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00601","10260",0.80612612,"38660",0.19387387,NULL,NULL,NULL,NULL
"00602","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00603","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00604","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00605","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00606","38660",0.00267789,NULL,NULL,NULL,NULL,NULL,NULL
"00610","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00611","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00612","11640",0.99620652,"41980",0.00283422,"10380",0.00095927,NULL,NULL
"00613","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00614","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00616","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00617","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00622","41900",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00623","41900",0.99915105,"32420",0.00084895,NULL,NULL,NULL,NULL
"00624","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00627","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00631","10380",0.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00637","41900",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00638","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00641","10380",0.96858138,"38660",0.03141860,NULL,NULL,NULL,NULL
"00646","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00647","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00650","41980",0.86258966,"11640",0.13741034,NULL,NULL,NULL,NULL
"00652","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00653","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00656","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00659","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00660","32420",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00662","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00664","27580",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00667","41900",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00669","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00670",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00674","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00676","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00677","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00678","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00680","32420",0.99970710,"41900",0.00029288,NULL,NULL,NULL,NULL
"00681","32420",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00682","32420",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00683","41900",0.96615458,"32420",0.03384541,NULL,NULL,NULL,NULL
"00685","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00687","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00688","11640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00690","10380",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00692","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00693","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00694","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00698","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00703","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00704","17640",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00705","41980",0.99869078,"17620",0.00130924,NULL,NULL,NULL,NULL
"00707","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00714","25020",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00715","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00716","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00717","38660",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00718","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
"00719","41980",1.00000000,NULL,NULL,NULL,NULL,NULL,NULL
